Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Sierra Constellation Partners;https://www.crunchbase.com/organization/sierra-constellation-partners;;;Los Angeles, California, United States;Angel Group;A Los Angeles-based advisory firm serving middle market companies and stakeholders in those firms.;http://sierraconstellation.com/;http://twitter.com/SCPartnersLLC;http://www.facebook.com/sierraconstellation;http://www.linkedin.com/company/2940479;;;;;
Sienna Ventures;https://www.crunchbase.com/organization/sienna-ventures;7;3;San Rafael, California, United States;Venture Capital;Sienna Ventures is a California-based venture capital firm specialized in early stage technology investments.;http://www.siennaventures.com/;;;https://www.linkedin.com/company/sienna-ventures;6;2;;;
Sienna Holdings;https://www.crunchbase.com/organization/sienna-holdings;5;1;Sausalito, California, United States;Venture Capital;Sienna Holdings is a California-based growth capital firm that invests in information technology businesses.;http://www.siennaholdings.com;;;;4;1;;;
Sienna Equity Partners;https://www.crunchbase.com/organization/sienna-equity-partners;1;;Pasadena, California, United States;Venture Capital;Sienna Equity Partners is a bank focused on private investments.;http://siennacapital.com;;;;1;;;;
Siemens Mustang Ventures;https://www.crunchbase.com/organization/siemens-mustang-ventures;9;4;Santa Clara, California, United States;Venture Capital;Siemens Mustang Ventures is the VC arm of Siemens Information and Communication Networks Group.;http://www.mustangventures.com;;;;6;3;;;
Sibling Capital;https://www.crunchbase.com/organization/sibling-capital;3;1;Rancho Santa Fe, California, United States;Private Equity Firm;Sibling Capital is a private equity firm high net-worth individual investors.;http://www.siblingcapital.com;;;;2;;;;
Shoreline Venture Management;https://www.crunchbase.com/organization/shoreline-venture-management;4;2;San Francisco, California, United States;Venture Capital;Shoreline Venture Management is a venture capital firm based in the San Francisco Bay Area.;http://www.shorelineventures.com;;;;4;1;;;
Shoreline Partners;https://www.crunchbase.com/organization/shoreline-partners;;;San Diego, California, United States;Venture Capital;Shoreline Partners was added in 2014.;http://www.shoreline.com;https://www.twitter.com/shorelineptrs;;;;;;;
Shoreline Capital;https://www.crunchbase.com/organization/shoreline-capital;;;Los Gatos, California, United States;Private Equity Firm;Shoreline Capital Management is a private fund manager specializing in finding and creating value in investment opportunities;http://www.shoreline-capital.com/;;;;;;;;
Sherpalo Ventures;https://www.crunchbase.com/organization/sherpalo-ventures;39;10;Menlo Park, California, United States;Angel Group;Sherpalo is a mentor capital firm that supports the development and commercialization of early-stage disruptive new technologies.;http://www.sherpalo.com;;;;28;7;;;
Sherpa Capital;https://www.crunchbase.com/organization/sherpa-ventures;114;11;San Francisco, California, United States;Venture Capital;Sherpa Capital supports the most promising emerging technology-enabled companies.;http://sherpa.com;http://twitter.com/sherpa;;http://www.linkedin.com/company/sherpaventures;89;14;;;
Shepherd Ventures;https://www.crunchbase.com/organization/shepherd-ventures;19;5;San Diego, California, United States;Venture Capital;Shepherd Ventures was founded in 2001 and is headquartered in San Diego, part of Southern California's Tech Coast, with easy access to;http://www.shepherdventures.com;;;;12;2;;;
Shelter Capital Partners;https://www.crunchbase.com/organization/shelter-capital-partners;21;5;Los Angeles, California, United States;Venture Capital;Shelter Capital Partners is a Southern California based private investment fund, focused on investments in technology and;http://www.sheltercap.com;;;;11;5;;;
Shea Ventures;https://www.crunchbase.com/organization/shea-ventures;50;12;Walnut, California, United States;Venture Capital;In 1968, while the semiconductor and biotechnology industries in the San Francisco Bay Area were on the verge of carrying the world into;http://www.jfshea.com;;;;37;9;;;
Shasta Ventures;https://www.crunchbase.com/organization/shasta-ventures;237;42;Menlo Park, California, United States;Venture Capital;Shasta Ventures is an investment company that focuses companies in consumer internet, mobile, and software sectors.;http://shastaventures.com;http://twitter.com/shasta;;;126;75;;;
SharesPost Investment Management;https://www.crunchbase.com/organization/sharespost-investment-management;43;11;Menlo Park, California, United States;Private Equity Firm;SharesPost Investment Management manages the public Sharespost 100 Fund (PRIVX) and other funds;http://sharespost.com/sharespost-100-fund/;http://twitter.com/SP100FUND;;http://www.linkedin.com/company/sharespost;43;1;;;
Shanghai Hua Hong International;https://www.crunchbase.com/organization/shanghai-hua-hong-international;1;1;San Jose, California, United States;Venture Capital;Shanghai Hua Hong International was added in 2011.;;;;;1;;;;
Shamrock Holdings;https://www.crunchbase.com/organization/shamrock-holdings;11;5;Burbank, California, United States;Private Equity Firm;Founded in 1978, Shamrock Holdings has been a leading investor in a wide range of domestic and international private equity transactions,;http://www.shamrock.com;;;;10;2;;;
Shamrock Capital Advisors;https://www.crunchbase.com/organization/shamrock-capital-advisors;11;;Los Angeles, California, United States;Private Equity Firm;Shamrock Capital Advisors is a private equity firm investing in the media, entertainment, and communications sectors.;http://www.shamrockcap.com;;;https://www.linkedin.com/company/shamrock-capital-advisors;10;7;;;
Shamrock Capital;https://www.crunchbase.com/organization/shamrock-capital;1;;Los Angeles, California, United States;Venture Capital;Shamrock Capital was added in 2013.;http://www.shamrockcap.com;;;;1;;;;
Shah Capital Partners;https://www.crunchbase.com/organization/shah-capital-partners;3;;Santa Clara, California, United States;Venture Capital;Shah Capital Partners invests in technology businesses in which we can create shareholder value through operational transformations.;http://www.shahcap.com;;;https://www.linkedin.com/company/shah-capital;2;;;;
SGVC;https://www.crunchbase.com/organization/sgventures;41;9;Beverly Hills, California, United States;Venture Capital;SGVC is a California-based venture capital firm focused on B2B, enterprise software, and financial and real estate tech companies.;http://www.sg-vc.com/;https://twitter.com/sgvc_;;https://www.linkedin.com/company/sg-vc;33;5;;;
SF Angels Group;https://www.crunchbase.com/organization/sf-angels-group;1;;San Francisco, California, United States;Angel Group;San Francisco angel investor group;http://www.sfangelsgroup.com;http://twitter.com/SFAngelGroup;http://www.facebook.com/sfangelgroup;http://www.linkedin.com/company/3521122;1;;;;
SF Angel;https://www.crunchbase.com/organization/sf-angel;;;San Francisco, California, United States;Angel Group;SF Angel is a San Francisco-based angel investment firm. They help start-ups with financing, connections, business development, and;http://sfangel.co;http://twitter.com/SFAngelGroup;http://www.facebook.com/sfangelgroup;;;;;;
SeriesG;https://www.crunchbase.com/organization/seriesg;1;;San Francisco, California, United States;Venture Capital;SeriesG was added in 2012.;http://www.seriesg.com;http://twitter.com/SeriesG;;;1;;;;
Serent Capital;https://www.crunchbase.com/organization/serent-capital;21;3;San Francisco, California, United States;Private Equity Firm;Serent Capital invests in great businesses that are already successful, delivering compelling solutions that address their customers' needs.;http://www.serentcapital.com;;;;20;7;;;
Seraph Group;https://www.crunchbase.com/organization/seraph-group;32;7;Foster City, California, United States;Angel Group;Founded in 2005, Seraph Group is a top angel investor that invests between $50,000 and $1,000,000 in early stage start-ups, bridging the fun;http://www.seraphgroup.net;http://twitter.com/SeraphGroup;;http://www.linkedin.com/company/seraph-group;25;4;;;
Sequoia Capital;https://www.crunchbase.com/organization/sequoia-capital;1,297;225;Menlo Park, California, United States;Venture Capital;Sequoia is a VC firm focused on energy, financial, enterprise, healthcare, internet, and mobile startups.;http://www.sequoiacap.com;http://twitter.com/sequoia;http://www.facebook.com/SequoiaCap;http://www.linkedin.com/company/sequoia;721;451;;;
Sequel Venture Partners;https://www.crunchbase.com/organization/sequel;44;15;Boulder Creek, California, United States;Venture Capital;Sequel Venture Partners, based in Boulder, Colorado, provides venture funding for early stage technology businesses.;http://www.sequelvc.com;;;;29;8;;;
Semmle Capital Partners;https://www.crunchbase.com/organization/semmle-capital-partners;2;;San Francisco, California, United States;Venture Capital;Semmle Capital Partners is a venture company involved in venture capital investments.;;;;;1;;;;
Selby Venture Partners;https://www.crunchbase.com/organization/selby-venture-partners;41;10;Menlo Park, California, United States;Venture Capital;Selby Ventures invests in businesses based on digital media, IT and communications, and sustainable technology.;http://www.selbyventures.com;;;;23;4;;;
Seek Capital;https://www.crunchbase.com/organization/seek-capital;3;1;Los Angeles, California, United States;Micro VC;Seek Capital, a private placement agent and alternative investment adviser, serves investors and managers of privately managed funds.;http://www.seekcapital.com;https://www.twitter.com/seekcapital;https://www.facebook.com/seekcapital;;2;;;;
SeedRamp;https://www.crunchbase.com/organization/seedramp;;;Palo Alto, California, United States;Micro VC;SeedRamp is a venture capital fund that provides instant seed investments after just one hour interview.;http://www.seedramp.com;https://twitter.com/seedramp;https://www.facebook.com/seedramp/;https://www.linkedin.com/company/seedramp;;;;;
Seed Equity Ventures;https://www.crunchbase.com/organization/seed-equity-ventures;4;;San Francisco, California, United States;Venture Capital;Seed equity is a US Registered broker-dealer and online equity-based investing platform for startups.;https://www.seedequity.com;http://twitter.com/getseedequity;http://www.facebook.com/pages/Seed-Equity/439888739445195;http://www.linkedin.com/company/seed-equity-ventures;4;4;;;
Secure Octane;https://www.crunchbase.com/organization/secure-octane;6;;San Francisco, California, United States;Venture Capital;Secure Octane is a cybersecurity seed fund that introduces investors, security architects, and thought leaders to improve businesses.;http://www.secureoctane.com;;;;6;;;;
Section 32;https://www.crunchbase.com/organization/section-32;;;San Diego, California, United States;Venture Capital;Section 32 is a healthcare-focused venture fund.;http://section32.com/;;;;;;;;
Sears Capital Management;https://www.crunchbase.com/organization/sears-capital-management;7;2;Cupertino, California, United States;Venture Capital;Sears Capital Management is a venture investment and portfolio management firm focused on the life sciences industry.;http://www.searscapital.net;;;;4;1;;;
Seabury Venture Partners;https://www.crunchbase.com/organization/seabury-venture-partners;;;Redwood City, California, United States;Venture Capital;Primarily focused on the investment and growth of companies in telecommunications infrastructure, optical networking and Golf.;http://seaburypartners.com/;;;;;;;;
Seabed VC;https://www.crunchbase.com/organization/victory-ventures-2;1;;Saratoga, California, United States;Micro VC;Seabed VC invests with an open mind and bets on ideas that mainstream VCs won't. Check our website and Angellist for portfolio;http://seabed.vc/#home;;;;1;;;;
SDL Ventures;https://www.crunchbase.com/organization/sdl-ventures;6;1;Mountain View, California, United States;Venture Capital;The strategy for SDL Ventures is to focus on early stage investments offering clear technical differentiation and a strong founder team.;http://sdlventures.com;;;;5;1;;;
Scrum Ventures;https://www.crunchbase.com/organization/scrum-ventures;46;4;San Francisco, California, United States;Venture Capital;Scrum Ventures invests in entrepreneurs who are creating startups related to commerce, health care, SaaS, video, and IoT in the U.S;http://www.scrum.vc;;https://www.facebook.com/scrumventures/;https://www.linkedin.com/company/3003556?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3003556%2Cidx%3A2-1-2%2CtarId%3A1464148008858%2Ctas%3Ascrum%20ventures;32;;;;
Science;https://www.crunchbase.com/organization/science;16;3;Santa Monica, California, United States;Venture Capital;Science acquires, develops, and funds digital tech-based companies.;http://www.science-inc.com;http://twitter.com/scienceinc;http://www.facebook.com/scienceinc;;12;1;;;
Schwab Institutional;https://www.crunchbase.com/organization/schwab-institutional;;;San Francisco, California, United States;Private Equity Firm;Schwab Institutional was added in 2012.;http://advisorservices.schwab.com;https://www.twitter.com/charlesschwab;https://www.facebook.com/charlesschwab;;;;;;
Scale Venture Partners;https://www.crunchbase.com/organization/scale-venture-partners;169;46;Foster City, California, United States;Venture Capital;Scale Venture Partners is a VC firm that invests in enterprise technology companies with a focus on SaaS and cloud infrastructure.;http://www.scalevp.com;http://twitter.com/scalevp;http://www.facebook.com/scalevp;http://www.linkedin.com/company/scale-venture-partners;94;65;;;
Scale Capital;https://www.crunchbase.com/organization/scale-capital;3;;San Francisco, California, United States;Venture Capital;We are entrepreneurs, founders and investors, passionate about turning great ideas and brilliant minded people into successes.;http://www.scalecapital.com;;;https://www.linkedin.com/company/scale-capital?trk=top_nav_home;3;;;;
SBV Venture Partners;https://www.crunchbase.com/organization/sbv-venture-partners;6;5;Palo Alto, California, United States;Venture Capital;SBV's investment strategy is reflected in its track record. SBV Venture Partners believes that the current environment of very large;http://www.sbvpartners.com;;;;5;;;;
SB Life Science;https://www.crunchbase.com/organization/sb-life-science;6;3;Redwood City, California, United States;Venture Capital;SB Life Science Equity Management is a venture capital firm that is dedicated to funding and building successful businesses in health care.;http://www.sblifescience.com;http://twitter.com/ScienceIndex_;;;5;;;;
Savitr Capital;https://www.crunchbase.com/organization/savitr-capital;2;1;San Francisco, California, United States;Private Equity Firm;Savitr Capital, LLC (â€œSavitrâ€ù) is an Investment Manager. They focus on investing in renewable and clean energy companies. They have a;http://www.savitrcapital.com;;;;1;;;;
Sauzalito Ventures;https://www.crunchbase.com/organization/sauzalito-ventures;1;;Sausalito, California, United States;Venture Capital;Sausalito Ventures empowers entrepreneurs and organizations to succeed in new markets.;http://sausalitoventures.com/;https://www.twitter.com/sausalitoven;;;1;;;;
Satwik Capital Advisors;https://www.crunchbase.com/organization/satwik-ventures;6;1;San Jose, California, United States;Venture Capital;Satwik Capital Advisors is a financial services and investment firm focusing on assisting late stage growth companies.;http://satwikcapital.com;;;;3;1;;;
Satter Investment Management;https://www.crunchbase.com/organization/satter-investment-management;6;1;Chico, California, United States;Venture Capital;Satter Investment Management is a principal investment firm specializing in investments in life sciences and medical technology companies.;;;;;3;2;;;
Saratoga Ventures;https://www.crunchbase.com/organization/saratoga-ventures;5;1;Santa Clara, California, United States;Venture Capital;Saratoga Ventures is a venture capital firm focused on early stage investments in medical devices.;http://www.saratogavc.com;;;;3;1;;;
Sapphire Ventures;https://www.crunchbase.com/organization/sapphire-ventures;144;45;Palo Alto, California, United States;Venture Capital;Sapphire Ventures is focused on helping todayâ€™s most innovative technology companies become global category-defining leaders.;http://www.sapphireventures.com;http://twitter.com/sapphirevc;http://www.facebook.com/pages/Sapphire-Ventures/231751983589397;http://www.linkedin.com/company/2223266;97;44;;;
Santa Barbara Technology Group;https://www.crunchbase.com/organization/santa-barbara-technology-group;1;;Santa Barbara, California, United States;Private Equity Firm;Santa Barbara Technology Group, LLC is a private investment and consulting firm engaged primarily in working with, and acquiring equity;http://www.sbtechnology.com;;;http://www.linkedin.com/company/1464577;1;;;;
Santa Barbara Angel Alliance;https://www.crunchbase.com/organization/santa-barbara-angel-alliance;;;Santa Barbara, California, United States;Angel Group;Santa Barbara Angel Alliance is an angel investor group that has invested more than $5M in over 100 startup and early-stage companies.;http://www.sbangelalliance.com;;;http://www.linkedin.com/company/santa-barbara-angel-alliance;;;;;
Sandy Hill Ventures;https://www.crunchbase.com/organization/sandy-hill-ventures;2;;San Francisco, California, United States;Venture Capital;invests in and advises emerging business in CleanTech, FinTech, Healthcare, Internet Security, and Software companies;http://www.sandyhillventures.com;;;https://www.linkedin.com/in/ron-warrington-7bb0ba4;2;;;;
SanDisk Ventures;https://www.crunchbase.com/organization/sandisk-ventures;12;4;Milpitas, California, United States;Corporate Venture Capital;SanDisk Ventures are committed to promoting entrepreneurship and innovation with a capital fund of $75 million;http://www.sandisk.com/about-sandisk/corporate/ventures/;;;;10;3;;;
Sanderling Ventures;https://www.crunchbase.com/organization/sanderling-ventures;68;8;San Mateo, California, United States;Venture Capital;Sanderling Ventures is an investment firm that works on building and funding new biomedical companies.;http://www.sanderling.com;;;;31;17;;;
Sand Hill Finance;https://www.crunchbase.com/organization/sand-hill-finance;1;1;Campbell, California, United States;Micro VC;Sand Hill Finance is a venture capital firm specializing in emerging growth financing to small and mid-sized companies.;http://sandhillfinance.com;;;;1;;;;
Sand Hill Capital;https://www.crunchbase.com/organization/sand-hill-capital;15;6;Menlo Park, California, United States;Venture Capital;Sand Hill Capital is a diversified financial services company that provides debt and equity solutions to venture capital backed start-up;http://www.sandhillcapital.com;;;;11;1;;;
Sand Hill Angels;https://www.crunchbase.com/organization/sand-hill-angels;60;4;Mountain View, California, United States;Angel Group;Sand Hill Angels, a venture capital firm, invests in internet, information technology, clean tech, consumer, and life sciences businesses.;http://www.sandhillangels.com;http://twitter.com/sandhillangels;http://www.facebook.com/sandhillangelsinc;http://www.linkedin.com/company/sand-hill-angels;47;8;;;
San Joaquin Capital;https://www.crunchbase.com/organization/san-joaquin-capital;2;;Fresno, California, United States;Venture Capital;San Joaquin Capital is a growth equity firm that invests in the Central Joaquin Valley area of California.;http://www.sanjoaquincap.com;;;;2;2;;;
San Joaquin Angels;https://www.crunchbase.com/organization/san-joaquin-angels;3;;Stockton, California, United States;Angel Group;San Joaquin Angels is an angel investment group located in San Joaquin County in CaliforniaÃ¢â‚¬â„¢s great Central Valley.;http://www.sanjoaquinangels.com;;;;3;1;;;
San Francisco Equity Partners;https://www.crunchbase.com/organization/san-francisco-equity-partners;5;;San Francisco, California, United States;Private Equity Firm;San Francisco Equity Partners is a private equity firm focused on expansion-stage companies within the information technology, media,;http://www.sfequitypartners.com;;;;2;1;;;
San Francisco Education Fund;https://www.crunchbase.com/organization/san-francisco-education-fund;;;San Francisco, California, United States;Venture Capital;San Francisco Education Fund was added in 2013.;http://www.sfedfund.org;https://www.twitter.com/sfedfund;;;;;;;
San Diego Venture Group;https://www.crunchbase.com/organization/san-diego-venture-group;;;San Diego, California, United States;Micro VC;San Diego Venture Group was founded in 1986;http://www.sdvg.org;http://twitter.com/sdvg;http://www.facebook.com/pages/San-Diego-CA/San-Diego-Venture-Gro;;;;;;
Salt Creek Capital;https://www.crunchbase.com/organization/salt-creek-capital;;;Menlo Park, California, United States;Private Equity Firm;Salt Creek Capital acquires profitable companies with up to $100M in revenue in partnership with successful operating exec's;http://www.saltcreekcap.com;https://twitter.com/SaltCreekCap;;http://www.linkedin.com/company/salt-creek-capital;;;;;
Salesforce Ventures;https://www.crunchbase.com/organization/salesforce-ventures;220;33;San Francisco, California, United States;Corporate Venture Capital;Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.;http://www.salesforce.com;https://twitter.com/salesforcevc;http://www.facebook.com/salesforce;http://www.linkedin.com/company/salesforce;172;28;;;
Saints Capital;https://www.crunchbase.com/organization/saints-capital;60;20;San Francisco, California, United States;Venture Capital;Saints Capital is a merchant venture capital firm with offices located in San Francisco and London.;http://www.saintscapital.com;;;http://www.linkedin.com/company/45063;45;8;;;
SAIL Capital Partners LLC;https://www.crunchbase.com/organization/sail-capital-partners;13;;Irvine, California, United States;Venture Capital;Founded in 2002, Sail Capital Partners invests in energy and cleantech sectors and is a venture capital firm.;http://www.sailcapital.com;http://twitter.com/SAILCapital;;https://www.linkedin.com/company/sail-capital-partners;8;5;;;
SAIC Capital;https://www.crunchbase.com/organization/saic-capital;9;4;Menlo Park, California, United States;Corporate Venture Capital;SAIC Capital is the corporate venture capital of Shanghai Motors, investing in early to growth stage technology companies.;http://www.saicusa.com/investment/overview/;;;;9;2;;;
Sageview Capital;https://www.crunchbase.com/organization/sageview-capital;12;1;Palo Alto, California, United States;Private Equity Firm;Sageview Capital is a firm providing growth capital to small and mid-sized companies in the tech, financial, and business services sectors.;http://www.sageviewcapital.com;;;;10;9;;;
Sage Venture Partners;https://www.crunchbase.com/organization/sage-venture-partners;5;2;Los Angeles, California, United States;Venture Capital;Sage Venture Partners is a venture capital firm based in Los Angeles, California.;http://sagecappartners.com/;;;;5;;;;
Sage Technology Ventures;https://www.crunchbase.com/organization/sage-technology-ventures;1;;Fremont, California, United States;Venture Capital;Sage Technology Ventures was added in 2010.;;;;;1;;;;
SAGE - Shasta Angel Group for Entrepreneurs;https://www.crunchbase.com/organization/sage-shasta-angel-group-for-entrepreneurs;;;Redding, California, United States;Micro VC;The Shasta Angels are Northern Californiaâ€™s most respected and connected group of accredited investors.;http://www.shastaangels.com/;;;http://www.linkedin.com/company/3768111;;;;;
Sagamore Investments;https://www.crunchbase.com/organization/sagamore-investments;1;;San Francisco, California, United States;Private Equity Firm;Sagamore Investments was founded in 2002;http://www.sagainv.com;;;;1;1;;;
Saehan;https://www.crunchbase.com/organization/saehan;1;;Los Angeles, California, United States;Angel Group;Saehan Bancorp is a bank holding company with headquarters in Los Angeles, California. Its wholly owned subsidiary, Saehan Bank, offers a;http://www.saehanbank.com;;;;1;;;;
Sacramento AQMD;https://www.crunchbase.com/organization/sacramento-aqmd;1;;Sacramento, California, United States;Venture Capital;Sacramento AQMD was added in 2010.;http://www.airquality.org;http://twitter.com/AQMD;;;1;;;;
Sacramento Angels;https://www.crunchbase.com/organization/sacramento-angels;3;;Sacramento, California, United States;Angel Group;The Sacramento Angels is a membership-based group of active angel investors who invest in early-stage Northern California companies.;http://www.sacangels.com/;http://twitter.com/sacangels;https://www.facebook.com/share.php;;3;1;;;
Saban Ventures;https://www.crunchbase.com/organization/saban-ventures;3;;Los Angeles, California, United States;Venture Capital;Saban Ventures is the venture capital firm.;http://www.sabanventures.com;;;;3;2;;;
Saban Capital Group;https://www.crunchbase.com/organization/saban-capital-group;8;2;Los Angeles, California, United States;Private Equity Firm;Saban Capital Group, Inc. is a private investment firm based in Los Angeles, California focused on media, entertainment, and communications.;http://www.saban.com;;;;8;2;;;
SaaStr Fund;https://www.crunchbase.com/organization/saastr-fund;1;;Palo Alto, California, United States;Venture Capital;The SaaStr Fund is a $70m venture fund that focuses on early-ish stage investments exclusively in SaaS/enterprise/B2B start-ups.;http://www.saastrfund.com/;;;;1;1;;;
S2 Capital;https://www.crunchbase.com/organization/s2capital;8;;San Francisco, California, United States;Venture Capital;S2 Capital is a San Francisco-based, micro venture capital fund focused on seed-stage investments.;http://s2capital.vc;https://www.;https://www.;http://www.linkedin.com/company/6416085;8;2;;;
S-Cubed Capital;https://www.crunchbase.com/organization/s-cubed-capital;12;3;Menlo Park, California, United States;Venture Capital;S-Cubed Capital is a diversified investment holding company and family office located in Menlo Park, CA.;http://scubedcap.com;;;;10;;;;
S Cubed Ventures;https://www.crunchbase.com/organization/s-cubed-ventures;;;Palo Alto, California, United States;Venture Capital;S Cubed Ventures is to accelerate the growth of early stage companies by adding insight and experience.;http://www.s3ventures.com;;;;;;;;
RWI Ventures;https://www.crunchbase.com/organization/rwi-ventures;19;4;Menlo Park, California, United States;Venture Capital;RWI Ventures is a California-based venture capital firm that invests in networking, semiconductor, software, and life sciences companies.;http://www.rwiventures.com;;;;13;4;;;
Rustic Canyon Partners;https://www.crunchbase.com/organization/rustic-canyon-partners;95;24;Santa Monica, California, United States;Venture Capital;Rustic Canyon Partners is California-based, early-stage venture capital firm focused on digital media, e-commerce, and SaaS-based companies.;http://www.rusticcanyon.com;http://twitter.com/rusticcanyonvc;http://www.facebook.com/rusticcanyonpartners;;60;29;;;
RUSNANO;https://www.crunchbase.com/organization/rusnano;17;6;Menlo Park, California, United States;Venture Capital;Rusnano is a joint-stock company aimed at commercializing developments in the nanotechnology industry.;http://en.rusnano.com;http://twitter.com/rusnano_en;http://www.facebook.com/En.Rusnano;http://www.linkedin.com/company/227105;10;6;;;
Runa Capital;https://www.crunchbase.com/organization/runa-capital;65;6;Palo Alto, California, United States;Venture Capital;Runa Capital is a VC firm with 2 funds run by a team of successful tech entrepreneurs and investors .;http://www.runacap.com;http://twitter.com/runacapital;http://www.facebook.com/runacapital;http://www.linkedin.com/company/runa-capital;49;30;;;
Rubicon Venture Capital;https://www.crunchbase.com/organization/rubicon-venture-capital;22;2;San Francisco, California, United States;Angel Group;Founded in 2013, Rubicon Venture Capital is a bi coastal SF/NYC early-stage VC investing in software/tech companies.;http://www.rubicon.vc;http://twitter.com/rubiconVC;http://www.facebook.com/rubiconvc;http://www.linkedin.com/company/rubicon-venture-capital;18;;;;
Rubicon Technology Partners;https://www.crunchbase.com/organization/rubicon-technology-partners;4;1;Menlo Park, California, United States;Private Equity Firm;RUBICON invests in lower middle-market enterprise software companies.;http://www.rubicontp.com/about.html;;;;4;3;;;
RSL Venture Partners;https://www.crunchbase.com/organization/rsl-venture-partners;9;1;Danville, California, United States;Venture Capital;RSL Venture Partners is a venture capital firm that specializes in growth capital investments;;;;;8;;;;
RS Investments;https://www.crunchbase.com/organization/rs-investments;2;1;San Francisco, California, United States;Venture Capital;RS Investments have been delivering better client outcomes through research-driven active strategies;http://www.rsinvestments.com;;;;2;1;;;
RP Partners;https://www.crunchbase.com/organization/rp-partners;1;;Los Angeles, California, United States;Private Equity Firm;RP Realty Partners seeks out a diversified portfolio of retail and other properties in markets where RP has prior investment experience as;http://www.rprp.com;;;;1;;;;
Rostrum Capital;https://www.crunchbase.com/organization/rostrum-capital;2;;San Francisco, California, United States;Private Equity Firm;Rostrum Capital is an investing firm that is interested in new platform companies.;http://www.rostrumcapital.com;https://www.twitter.com/weiks;https://www.facebook.com/10153646100228373;;2;;;;
Rosewood Venture Group;https://www.crunchbase.com/organization/rosewood-venture-group;6;3;San Francisco, California, United States;Venture Capital;Rosewood Venture Group;http://www.rosewoodvc.com/;;;;6;1;;;
Rosalind Capital Partners;https://www.crunchbase.com/organization/rosalind-capital-partners;2;2;Santa Monica, California, United States;Micro VC;Rosalind Capital Partners is a Santa Monica-based venture capital fund that invests in the life sciences sector.;http://www.roslandcapital.com;http://twitter.com/Roslandcapital1;http://www.facebook.com/roslandcapital;http://www.linkedin.com/company/rosland-capital;2;;;;
Root Ventures;https://www.crunchbase.com/organization/rootvc;11;2;San Francisco, California, United States;Angel Group;Root Ventures is a venture capital company that invests in hardware, development tools, and data science.;http://www.root.vc/;;;https://www.linkedin.com/company/6463550;8;1;;;
RONAholdings;https://www.crunchbase.com/organization/ronaholdings;2;;San Francisco, California, United States;Private Equity Firm;RONA Holdings, LLC is a unique investment firm that specializes in developing and mentoring entrepreneurs to create inspiring companies;http://www.ronaholdings.com;;;;2;;;;
Rona Syndicates;https://www.crunchbase.com/organization/rona-syndicates;3;;San Mateo, California, United States;Venture Capital;Rona Syndicates is a Silicon Valley-based venture investment group focused on the electronics industry.;;;;;1;;;;
Rogers Venture Partners;https://www.crunchbase.com/organization/rogers-venture-partners;23;4;Palo Alto, California, United States;Corporate Venture Capital;Rogers Venture Partners is a Palo Alto-based venture capital fund investing in information technology companies.;http://www.rogersvp.com;http://twitter.com/Rogers_VP;;http://www.linkedin.com/company/rogers-venture-partners;17;7;;;
Rogers Investment Corp.;https://www.crunchbase.com/organization/rogers-investment-corp;;;Menlo Park, California, United States;Venture Capital;Rogers Investment Corporation is a small venture capital firm in Menlo Park, California.;https://www.;;;;;;;;
RocketSpace;https://www.crunchbase.com/organization/rocketspace;1;;San Francisco, California, United States;Corporate Venture Capital;RocketSpace is a technology campus for high-growth startups headquartered in San Francisco.;http://rocketspace.com/;http://twitter.com/rocketspace;https://www.facebook.com/RocketSpace;https://www.linkedin.com/company/rocketspace-inc-;1;;;;
rocketship.vc;https://www.crunchbase.com/organization/rocketship-vc;9;1;Palo Alto, California, United States;Venture Capital;Early stage venture fund investing in companies through data science.;http://www.rocketship.vc/;https://twitter.com/rocketshipvc;https://www.facebook.com/pages/rocketshipvc/1495189144073617?sk=info&tab=page_info;https://www.linkedin.com/company/rocketship-vc;9;;;;
Rockefeller Financial Services;https://www.crunchbase.com/organization/rockefeller-financial-services;1;;Los Angeles, California, United States;Private Equity Firm;Rockefeller & Co. has always taken pride in the integrity, depth, and vision of its professionals.;http://www.rockefellerfinancial.com;;;;1;;;;
Rock Health;https://www.crunchbase.com/organization/rock-health;94;12;San Francisco, California, United States;Micro VC;Rock Health is a seed fund investing in digital health startups.;http://rockhealth.com;http://twitter.com/Rock_Health;http://www.facebook.com/RockHealthFund;http://www.linkedin.com/company/rock-health;82;;;;
ROCA Partners;https://www.crunchbase.com/organization/roca-partners;;;Beverly Hills, California, United States;Private Equity Firm;A private equity investment firm focused on providing consumer services companies w/ flexible capital & resources to accelerate growth;http://www.rocapartners.com/;;;https://www.linkedin.com/company/roca-partners;;;;;
Robertson Stephens Partners;https://www.crunchbase.com/organization/robertson-stephens-partners;19;9;San Francisco, California, United States;Private Equity Firm;A new alternative asset platform of Robertson Stephens that will include a branded VC fund;http://www.rsadv.com/rsp;;;;18;;;;
